input1	label
b p t j l	bptjl
f q h k	fqhk
d r p z j b k w	drpzjbkw
v l g w s j r z m d t	vlgwsjrzmdt
l s b	lsb
h g w r x m z n	hgwrxmzn
n v m p x w g	nvmpxwg
p x v z n d c	pxvzndc
t w k s g f r p	twksgfrp
w n v m d z x j q k	wnvmdzxjqk
q n k z	qnkz
n q b p h l d x g m	nqbphldxgm
t b w g p f	tbwgpf
b q r v n c w l f z j g	bqrvncwlfzjg
l m x w p q j r g t c	lmxwpqjrgtc
q b k	qbk
s k f m n h x p w v j	skfmnhxpwvj
c g l j t m x	cgljtmx
x w j d v	xwjdv
g m z	gmz
t p j k h c m	tpjkhcm
g h j w d c f v p q	ghjwdcfvpq
x l j h s g	xljhsg
k b z j p	kbzjp
c w q g x p f t h m l d z v s	cwqgxpfthmldzvs
d c t k	dctk
j r x v k d t	jrxvkdt
v n h g b	vnhgb
v w n d g j r	vwndgjr
r m g l x t q z w	rmglxtqzw
w z c t l k m j	wzctlkmj
l w g	lwg
n x m t	nxmt
l r f c n j d h	lrfcnjdh
h s k	hsk
n p v m z r d	npvmzrd
f b x	fbx
n l q z v r f s c	nlqzvrfsc
x n v l d h w	xnvldhw
x h j f l g	xhjflg
k m g f h x z b	kmgfhxzb
d w v	dwv
h m z g	hmzg
g f h x v q z n k t	gfhxvqznkt
d l r p j g v q	dlrpjgvq
m g f r p t c	mgfrptc
d g l p v z	dglpvz
s r j w g l p q n	srjwglpqn
x b p q	xbpq
v j m x l f r n	vjmxlfrn
l v m c n z k x w t	lvmcnzkxwt
k h l x z s b p r	khlxzsbpr
t n b k h p l	tnbkhpl
k j c w p t f z x r b h l	kjcwptfzxrbhl
r d b	rdb
z w j p v x	zwjpvx
k l j t f	kljtf
s x p m r h l t	sxpmrhlt
x g p c h f	xgpchf
k m s d w r	kmsdwr
v l m h d	vlmhd
f d s z	fdsz
g f t v r x b	gftvrxb
s k l h f w x	sklhfwx
x d l c f b g	xdlcfbg
t z k f q p m w	tzkfqpmw
j x k v n	jxkvn
l t f m w k j	ltfmwkj
l v c k	lvck
g k v c j z x	gkvcjzx
j d n z t g p v	jdnztgpv
v m q g r w	vmqgrw
s m j k v d b f	smjkvdbf
r l f q w g	rlfqwg
w s k x l g d	wskxlgd
r b m t s j p q	rbmtsjpq
x k l	xkl
b f t g k c v w	bftgkcvw
t s j r b g q n	tsjrbgqn
g n m q c h l z d k b	gnmqchlzdkb
s n l b v r x w c j	snlbvrxwcj
d f v s p q l	dfvspql
l m q g p x f z r k	lmqgpxfzrk
g b m l n w s	gbmlnws
r j z s	rjzs
h j r g c q x	hjrgcqx
v q s f n l r c d b	vqsfnlrcdb
w v g k m x h q p l j f c	wvgkmxhqpljfc
s m d r p g f h j k b t n	smdrpgfhjkbtn
q b w d k	qbwdk
w k b j g n d s x	wkbjgndsx
f j s g l d	fjsgld
d m c s z b p v h	dmcszbpvh
l x m q	lxmq
s b z n	sbzn
j x z v	jxzv
h x t r f	hxtrf
h p k v n m z l w b	hpkvnmzlwb
h m d b c q z	hmdbcqz
w j f z n v	wjfznv
d j h r	djhr
s b g v c z r w h d m	sbgvczrwhdm
k b c d l	kbcdl
p l n v d w g z b j	plnvdwgzbj
b c t w m d s x l	bctwmdsxl
v s k g n m q	vskgnmq
q t j z b	qtjzb
h d p r q f	hdprqf
w x j z q h s	wxjzqhs
g x w z	gxwz
z f s q d b j n g l	zfsqdbjngl
s k f q m x	skfqmx
l t q s x n	ltqsxn
r c v f n m h k x j	rcvfnmhkxj
z d g	zdg
f h t w x c r p l g v j s z m	fhtwxcrplgvjszm
q z x f l r s b k v	qzxflrsbkv
l v k d c z s	lvkdczs
r v m	rvm
z g v	zgv
m b g x r n h c v	mbgxrnhcv
b c w n f l v g p	bcwnflvgp
n j v p m k b q d s	njvpmkbqds
x n f l t	xnflt
k q p r x w t j s g	kqprxwtjsg
x v w f s b r m c q	xvwfsbrmcq
p d g v t c f	pdgvtcf
x g k l p v d w r h	xgklpvdwrh
l n q	lnq
f l w j p v b r t c m	flwjpvbrtcm
s w d	swd
t b r q l f w	tbrqlfw
p l t h m g j	plthmgj
r l v b s m c	rlvbsmc
d z n k m p v s l w	dznkmpvslw
g k h t m j d f z	gkhtmjdfz
d h j k m f r	dhjkmfr
k f x b d h	kfxbdh
s j h	sjh
n t q s j z r f m k	ntqsjzrfmk
l v k r h	lvkrh
h z x s c d f j	hzxscdfj
w x q g z r n	wxqgzrn
q r f p c m	qrfpcm
n t v w c f m k l p	ntvwcfmklp
h v j d x c b z l g r p w	hvjdxcbzlgrpw
s z g r d b t h q p	szgrdbthqp
p t v h l c n q d g s k	ptvhlcnqdgsk
z l c j	zlcj
n s j w h g d r t	nsjwhgdrt
c s r	csr
w c v q	wcvq
b l p r f w g v k	blprfwgvk
v q n w	vqnw
p f d b z v s c j	pfdbzvscj
h l s q r	hlsqr
s p b f r t	spbfrt
d j b r l x c h	djbrlxch
q x d m	qxdm
g x q d c r t j l m	gxqdcrtjlm
x v g q r s b	xvgqrsb
n l p h d v b t	nlphdvbt
s h c p z	shcpz
w z j x r f k	wzjxrfk
q m d h b	qmdhb
w n m d c	wnmdc
d m p w k	dmpwk
g f c n	gfcn
x k t w l p	xktwlp
n b c v s r d w q	nbcvsrdwq
j g h	jgh
h g p t c m n	hgptcmn
s r z q	srzq
j p n q l c m	jpnqlcm
g r m z l x t s p b h c	grmzlxtspbhc
z d g s r n b m p	zdgsrnbmp
g h b q f	ghbqf
h q j c d k	hqjcdk
k g w v p b q l m r	kgwvpbqlmr
v b r n f p	vbrnfp
z f d r g h	zfdrgh
s t h d c r g p	sthdcrgp
t z m f g p	tzmfgp
p g m h b	pgmhb
n j z x m	njzxm
m r q t p h f	mrqtphf
l r c j f n t b v	lrcjfntbv
s w f b n c	swfbnc
k m q w h b j v c	kmqwhbjvc
n k d t m c l h b	nkdtmclhb
c h j q t r b p	chjqtrbp
l f w n r p h t k	lfwnrphtk
n b c t k d	nbctkd
v k z n	vkzn
h w c v j p n t	hwcvjpnt
b c q s d t w l	bcqsdtwl
x c g	xcg
d j r k l	djrkl
s r c j g h	srcjgh
k t h v c q g m b	kthvcqgmb
s z d g h	szdgh
x s p k	xspk
p d v	pdv
n q p	nqp
s k l d j x p n r	skldjxpnr
k q r t p b n g c s	kqrtpbngcs
k l w b x h	klwbxh
t s v d r	tsvdr
j q m h c s v k	jqmhcsvk
w m p	wmp
b f d k h s l w	bfdkhslw
s d z f w m v h q t k	sdzfwmvhqtk
v r f b x	vrfbx
q t z r k x s g c	qtzrkxsgc
z d w f	zdwf
f v n q t	fvnqt
m l f h k	mlfhk
w q v n l	wqvnl
h x k p q c r	hxkpqcr
s b c n z j f	sbcnzjf
s r p f	srpf
s d t l r c m q b	sdtlrcmqb
n c p g h m j	ncpghmj
z b h m l c g p	zbhmlcgp
f j z h l q	fjzhlq
d r j k t c	drjktc
s f j k b	sfjkb
p g z t b k l n f m	pgztbklnfm
c g x j n l	cgxjnl
m l j s z	mljsz
l b c s m j h v n p w	lbcsmjhvnpw
n b g r j t c f s m l	nbgrjtcfsml
k n t h f b	knthfb
h w b d k q l	hwbdkql
z s l d h b f x	zsldhbfx
p j d b k	pjdbk
h r b m p s	hrbmps
s w f h q d c x	swfhqdcx
v q x f d h g	vqxfdhg
k s g h	ksgh
t m f z l x v n j h p	tmfzlxvnjhp
g p j c n m t w l r	gpjcnmtwlr
m k f r s w c z l	mkfrswczl
c r d s x j	crdsxj
r n f q z w d k l	rnfqzwdkl
l k s t h x q r v f	lksthxqrvf
z r l d n p c	zrldnpc
p n h t z c	pnhtzc
j x k	jxk
q l w c d z n k f	qlwcdznkf
d z f w h k p	dzfwhkp
v b m p j q	vbmpjq
j n q m s	jnqms
t d f q z	tdfqz
b k r	bkr
s t f z h	stfzh
v x h d	vxhd
f d j l q b x c n s	fdjlqbxcns
c g b l	cgbl
d g n p	dgnp
g t j v l c f	gtjvlcf
x b m z c g l r v	xbmzcglrv
t m v q r w	tmvqrw
w f j q	wfjq
r z j w d v n q b	rzjwdvnqb
r w f g j p t	rwfgjpt
p l s d j w f r k h	plsdjwfrkh
r z x c p k n	rzxcpkn
c n f z r	cnfzr
l t k q w g d v f h	ltkqwgdvfh
c d x n h p w s j	cdxnhpwsj
r h k s m v d	rhksmvd
f t q x n r m	ftqxnrm
g v h n	gvhn
m n f t d q b x h c	mnftdqbxhc
p j n c q w	pjncqw
n q w v l k r d c	nqwvlkrdc
l q b v g w p d	lqbvgwpd
w f x k b z n	wfxkbzn
g k v r	gkvr
b q j	bqj
h g c q k v f w z b d	hgcqkvfwzbd
f r b c s g d p x	frbcsgdpx
m j x p z n f t h b s	mjxpznfthbs
m b p g	mbpg
r l z t	rlzt
t f h g w q s z k b x	tfhgwqszkbx
j m g h b w r	jmghbwr
m j t d	mjtd
d r m n q k v j	drmnqkvj
b p f k j	bpfkj
s b f n h z l j q v r d	sbfnhzljqvrd
d g l s k m w t p v f n	dglskmwtpvfn
k c f w n x	kcfwnx
w f b h t m n g	wfbhtmng
j p l n h t	jplnht
d c g w z l v p	dcgwzlvp
z s l m p b h c	zslmpbhc
c q m d v t l	cqmdvtl
b v z p m f s x w l	bvzpmfsxwl
h s v x f g	hsvxfg
k c d t v g s p z	kcdtvgspz
d b c z	dbcz
m b w s g	mbwsg
b m n	bmn
b c v n m j d x	bcvnmjdx
z t n b c h w	ztnbchw
s q x d h p c	sqxdhpc
h r c g m p t n z l	hrcgmptnzl
x r b j f m s d	xrbjfmsd
n r p j t s	nrpjts
c d n l j m p t	cdnljmpt
r s l w	rslw
l d h q k s j p w f x n	ldhqksjpwfxn
m p t f h x j w r	mptfhxjwr
k j s m n l c p z d r t	kjsmnlcpzdrt
r h t p f m k x b	rhtpfmkxb
x g p w k n	xgpwkn
l h k s z g x r t w n	lhkszgxrtwn
d q h v j s t x g n	dqhvjstxgn
m b k t l f h q	mbktlfhq
l q x m s k z w d g	lqxmskzwdg
f d r b m x	fdrbmx
q v l p	qvlp
v z x c r b	vzxcrb
j p k	jpk
g f j b n p x	gfjbnpx
j g k q w s h l n f	jgkqwshlnf
k x l s g p c	kxlsgpc
k v p f	kvpf
h v t k	hvtk
z l w j	zlwj
n d t s z h f b g	ndtszhfbg
f d p s v m r l	fdpsvmrl
w k r x q n b j	wkrxqnbj
h f q n m x v	hfqnmxv
p b c j v t	pbcjvt
h f q x c l b z g	hfqxclbzg
f x v m c n t s d h j g	fxvmcntsdhjg
f r b q x d v w z s	frbqxdvwzs
s h c p d l v j	shcpdlvj
x q w k m	xqwkm
n s d m f w	nsdmfw
c m w p s x n g z	cmwpsxngz
t h r g n	thrgn
k n f r m v h z g	knfrmvhzg
p f l k j d h	pflkjdh
n v p h b r	nvphbr
k n v q w b s l h	knvqwbslh
j l n b f w s h r	jlnbfwshr
c x w r h g z	cxwrhgz
p v z m q t	pvzmqt
k r b n s v w x	krbnsvwx
x h k w d	xhkwd
w t h z l j	wthzlj
h r s b w z l	hrsbwzl
c q b m k n d	cqbmknd
p v l b f x c n r s	pvlbfxcnrs
s w c z m p v b d	swczmpvbd
j v c r z	jvcrz
b v l n c s g	bvlncsg
s r c w h n m v	srcwhnmv
r b x w q z p	rbxwqzp
z b g m t k	zbgmtk
x g z t p	xgztp
x s r v	xsrv
m v h r w p t j d	mvhrwptjd
t x v z b h q r	txvzbhqr
x r q p	xrqp
n q t	nqt
h w c p s r v	hwcpsrv
t b w g q s p	tbwgqsp
w k l n f z g r b	wklnfzgrb
x j s z w g	xjszwg
w c b z t	wcbzt
x v s k	xvsk
c x h l w d r f	cxhlwdrf
f t s m b c x w	ftsmbcxw
n g z k f p	ngzkfp
c b k n w j f p	cbknwjfp
r z v t	rzvt
f l j s m p g	fljsmpg
s w v g p h r k t c f z	swvgphrktcfz
w r k s c n g b	wrkscngb
g q j p f c d t s	gqjpfcdts
m v g r f l x k z	mvgrflxkz
q f h g	qfhg
r k v j	rkvj
g d f h r b j w	gdfhrbjw
q k c l w f d r s j x	qkclwfdrsjx
p m g d v t	pmgdvt
b h z p k	bhzpk
p f n h m b j c z t r w x v	pfnhmbjcztrwxv
p l z d	plzd
l t q h	ltqh
m q t	mqt
m g f b s p	mgfbsp
x z v b q m n g	xzvbqmng
f r p q n c g j x z	frpqncgjxz
t q m j k f w	tqmjkfw
j k z r t x	jkzrtx
z f v w g t n h l	zfvwgtnhl
h j g p z w v f	hjgpzwvf
l s v	lsv
c w m f d s r k z p x	cwmfdsrkzpx
j h c t	jhct
q c h n x v z l	qchnxvzl
q g z m w b d c	qgzmwbdc
m c n	mcn
r q j k t m c	rqjktmc
p h d l n	phdln
h g x t w d s	hgxtwds
c m d j	cmdj
h q t g c	hqtgc
r p m q b g h	rpmqbgh
q b l	qbl
p c h	pch
c b r x d n k f	cbrxdnkf
n m s g j f	nmsgjf
b h s r p c q m	bhsrpcqm
l x n r h v	lxnrhv
v q s m w	vqsmw
k h d c b g f z t	khdcbgfzt
z s b	zsb
f g m p b q	fgmpbq
z p w	zpw
w n q b t l m c s r p	wnqbtlmcsrp
w x h s c l	wxhscl
w r n d s k l	wrndskl
n x c g l t	nxcglt
d n z	dnz
s f d m w p h j g	sfdmwphjg
h f t g w r l	hftgwrl
x t b q g p l j h	xtbqgpljh
k m g z s	kmgzs
h d f g s	hdfgs
t z f k c j r v x p l b	tzfkcjrvxplb
n x r d w j p m	nxrdwjpm
c h k f p n w r z v	chkfpnwrzv
g d t q p	gdtqp
s v k c t q j f l p	svkctqjflp
c n q d l w	cnqdlw
v m g c s	vmgcs
z q k m v t f	zqkmvtf
m l g c d f s b	mlgcdfsb
f d n c h q l s	fdnchqls
g v q z h d p	gvqzhdp
b v p h	bvph
j c r h s x b g	jcrhsxbg
c v f m b g z j	cvfmbgzj
w f j l h t	wfjlht
t x h j m n	txhjmn
d l f z x j h q	dlfzxjhq
t j q w h c n p	tjqwhcnp
t b g k f	tbgkf
t k x w n s l d c	tkxwnsldc
p b z h t	pbzht
g r d h f l	grdhfl
t b j c v p x m	tbjcvpxm
s h z b j t v k	shzbjtvk
f j z r w t x m	fjzrwtxm
b n p h j	bnphj
b r l d t c n k s q p	brldtcnksqp
r j b h c g z	rjbhcgz
s g f k l p t	sgfklpt
n b x v z j	nbxvzj
f n j x l v w t c z p b r k q	fnjxlvwtczpbrkq
v h n p q c g s d k	vhnpqcgsdk
g c z	gcz
d g b w t	dgbwt
s t l p q z c	stlpqzc
j h b l p c w	jhblpcw
z f k	zfk
v q h m x w d t r	vqhmxwdtr
d n g z j w l	dngzjwl
l p w r x m k z b	lpwrxmkzb
b m l g h f	bmlghf
q h n t d p v	qhntdpv
s t v q f r n	stvqfrn
c f x l	cfxl
s h f z k p l v b x	shfzkplvbx
z r j p b x v	zrjpbxv
g t f l z s x q	gtflzsxq
k v l g h w n	kvlghwn
k x c h g d q	kxchgdq
d l c p v m h	dlcpvmh
j m h w d s c z f n	jmhwdsczfn
q j l t z	qjltz
x j s b w	xjsbw
r g q w	rgqw
p q h t x m d l w k n g	pqhtxmdlwkng
w x z	wxz
k m g	kmg
g j q t z b x d	gjqtzbxd
w v l p j r t n q s g c	wvlpjrtnqsgc
h l b j q r g f m s	hlbjqrgfms
t r v k d h	trvkdh
n p j l r t	npjlrt
k j t r x w b c m	kjtrxwbcm
q g m v c j w f r x	qgmvcjwfrx
f j s p v b w h g k	fjspvbwhgk
r s b z	rsbz
n j s q p k d m l t c x	njsqpkdmltcx
m h f d q c	mhfdqc
p l j h m	pljhm
x n d r m w q h g	xndrmwqhg
q s n m	qsnm
p c r v w k j s	pcrvwkjs
d z r b w j t	dzrbwjt
f w g x m	fwgxm
p m h g d c	pmhgdc
h k l j	hklj
s m q g	smqg
q z d r h g t	qzdrhgt
v r x q m f s l	vrxqmfsl
h j l w n s	hjlwns
d s x f n z m r	dsxfnzmr
z s b p	zsbp
l x n c b k t r j h	lxncbktrjh
h s d q x n l z	hsdqxnlz
f w z j s	fwzjs
x z g	xzg
k d f b z x p	kdfbzxp
k q f	kqf
x v k q p d t	xvkqpdt
g p x n m k v h f d	gpxnmkvhfd
k j s q c	kjsqc
n h s q k b f	nhsqkbf
p d b k v r s m x f	pdbkvrsmxf
l h k w r x s m	lhkwrxsm
q v z h g w r	qvzhgwr
f z b l n t q	fzblntq
t z c s x d b v	tzcsxdbv
v z k f	vzkf
d z m j n t s q r	dzmjntsqr
j h x n l d	jhxnld
f d r w n x b	fdrwnxb
b p w x k f	bpwxkf
g n p r m	gnprm
x k b q h g p	xkbqhgp
c x r b g j s	cxrbgjs
w r z x d v p	wrzxdvp
c g q n	cgqn
p d x z j b k f	pdxzjbkf
f j v l q x c	fjvlqxc
s q g l b v	sqglbv
x g s p k d	xgspkd
x q j n p h w	xqjnphw
p c m v d x	pcmvdx
d j k c g q v	djkcgqv
c n w h m v	cnwhmv
k n f r m p l	knfrmpl
d w x n p h c f	dwxnphcf
d c x w q	dcxwq
g m n f	gmnf
p n j d z k	pnjdzk
h c r m t n g f	hcrmtngf
k d w t g j c x z	kdwtgjcxz
q w k m	qwkm
d t v s	dtvs
z l s f g r k m j c p	zlsfgrkmjcp
l x f m r k h t	lxfmrkht
t s g k	tsgk
q l n h z b	qlnhzb
v n f h j s z	vnfhjsz
s x w n l m k d r	sxwnlmkdr
v d n q h s w z	vdnqhswz
b m t g w j q k	bmtgwjqk
b c t x r p	bctxrp
b p d z x	bpdzx
l r q g x m d t h w c	lrqgxmdthwc
w l r f t	wlrft
v p n f w l j d	vpnfwljd
t l v g x w k f	tlvgxwkf
h n t s r d p b l	hntsrdpbl
c k b m g	ckbmg
j z s b q d t v	jzsbqdtv
v x k q	vxkq
s h b r n	shbrn
t x v n p g	txvnpg
s v j x p l q b	svjxplqb
n v l s q g	nvlsqg
t h k b m n	thkbmn
q t c k h s	qtckhs
h t x j	htxj
r m v d h w n x q	rmvdhwnxq
d v m	dvm
t j c x w p r h	tjcxwprh
b d s h f l q	bdshflq
b v d r l k w x h q	bvdrlkwxhq
p f q s d x	pfqsdx
n h v t z j p c g	nhvtzjpcg
l t f	ltf
k d s t l m b q n	kdstlmbqn
n m h t d r f s	nmhtdrfs
k p l q	kplq
l b g z q w j k n c	lbgzqwjknc
v f b m c z l d w	vfbmczldw
d s g x z v m w r l	dsgxzvmwrl
g b k z w f p s n	gbkzwfpsn
w j n q l p g b	wjnqlpgb
l q z j k n r t s x m	lqzjknrtsxm
j t z d p v c h n l x r	jtzdpvchnlxr
j v z h m n	jvzhmn
k p n m l g	kpnmlg
h f j z r l b	hfjzrlb
r s z w x b	rszwxb
z s t l	zstl
c t l z h d w v g r n	ctlzhdwvgrn
c t p s d	ctpsd
d x h g z p v	dxhgzpv
w m d v k	wmdvk
k q r p g z j c s h n l d	kqrpgzjcshnld
w c k l d	wckld
j v d x r	jvdxr
j q c x t n b g	jqcxtnbg
t n q p r k v	tnqprkv
n l s p r	nlspr
h r q x b d p t s	hrqxbdpts
d k s v b	dksvb
p k n z b c v h	pknzbcvh
h k s p j r l v n x	hkspjrlvnx
q v t b h x m	qvtbhxm
x j t b q	xjtbq
k m x l f j t p q h	kmxlfjtpqh
z s x d	zsxd
g t x w k v l	gtxwkvl
r z m	rzm
s z n r b f	sznrbf
k b r q w s v c d	kbrqwsvcd
b k j	bkj
j x d p	jxdp
m w v j	mwvj
c k g r s h	ckgrsh
x k s n j	xksnj
d x p l c r z f	dxplcrzf
h g w j k m p r c z x s	hgwjkmprczxs
f d h j b	fdhjb
r q j d	rqjd
s g p m z	sgpmz
l m f g x	lmfgx
r p t k	rptk
z j s h b	zjshb
c p n v	cpnv
w n j z h g r m k s	wnjzhgrmks
k d m r	kdmr
w k d r	wkdr
z s p j f	zspjf
j v w k p	jvwkp
g d p r l	gdprl
g l v k r z w	glvkrzw
b t p l v q w s	btplvqws
q g m j k h z f p	qgmjkhzfp
t n q k	tnqk
p h x	phx
z s f j	zsfj
g p k	gpk
n x t b p d	nxtbpd
x t m p z	xtmpz
s d j z r g p l v	sdjzrgplv
r p l f k x n m b q s h d t	rplfkxnmbqshdt
w l z r p m q v x	wlzrpmqvx
m n c d z h s v	mncdzhsv
l w t k s d m c v	lwtksdmcv
w n m c l b r q j	wnmclbrqj
l s v b q m x k t p h	lsvbqmxktph
q n j k h c w x z r p	qnjkhcwxzrp
b q x p v f r	bqxpvfr
v z p h j s n x c t	vzphjsnxct
s b t j	sbtj
r f s n x q k	rfsnxqk
k l d s f c j q m v h n	kldsfcjqmvhn
l t k x f w m c	ltkxfwmc
k h r x p w t z	khrxpwtz
k f j r h t m s c	kfjrhtmsc
l p v b s f c j	lpvbsfcj
k n q	knq
x j s h n t	xjshnt
w d f z c n	wdfzcn
w c r	wcr
q x d t n f	qxdtnf
j w m	jwm
m f s r c	mfsrc
w r x m b c z j k s q	wrxmbczjksq
s z k p x f n d b l t r	szkpxfndbltr
f n k c s d	fnkcsd
h k j s t r p v	hkjstrpv
c s f d h m p	csfdhmp
h l n k r s x j f	hlnkrsxjf
c t p b g m n d	ctpbgmnd
s b h d f	sbhdf
d g v n j	dgvnj
b m q c n h x p r	bmqcnhxpr
m v d k t	mvdkt
m r w h t d	mrwhtd
x z v p m g s t q d	xzvpmgstqd
n c b d g r k	ncbdgrk
n h c w p z	nhcwpz
p k q w h t c j l g	pkqwhtcjlg
p n q b j v z	pnqbjvz
m c d x q b v f k	mcdxqbvfk
v d p j w n	vdpjwn
x v b d c k h	xvbdckh
s l w c h	slwch
g m l b x q h	gmlbxqh
v h q f r m l z p	vhqfrmlzp
c r g j f q	crgjfq
s f g b q	sfgbq
q j w l z d	qjwlzd
b c t g s n m k h l	bctgsnmkhl
t c v n k	tcvnk
v l m s	vlms
x t w p m n	xtwpmn
p w m z f	pwmzf
s k q x w v g b h j d	skqxwvgbhjd
x k m h	xkmh
m f c x l k d t n	mfcxlkdtn
j k q l t z s g v w r p b	jkqltzsgvwrpb
h n k f b v	hnkfbv
m z s b v c	mzsbvc
k h m f r v	khmfrv
t h g m p z b k	thgmpzbk
s c k x h	sckxh
x p f c l v t b m g	xpfclvtbmg
x p s f b r j	xpsfbrj
q w g d k	qwgdk
d f q c v z m	dfqcvzm
n l j g t	nljgt
m p d j n g l v b f h	mpdjnglvbfh
k t f b x j z	ktfbxjz
s p h x z	sphxz
f t b w s	ftbws
w k g l n h j r s f q m x	wkglnhjrsfqmx
l t j n v k	ltjnvk
f k z r	fkzr
q g w d n j f	qgwdnjf
w v j t	wvjt
n t c d w s x v j	ntcdwsxvj
g p t	gpt
x r b q z j g	xrbqzjg
n b q m g k t s c	nbqmgktsc
d g p z v q n r t l s f k h	dgpzvqnrtlsfkh
z s k x p v n r	zskxpvnr
d t c	dtc
q p l	qpl
s q d b z	sqdbz
v x q p g k	vxqpgk
g k w b r x d n t z	gkwbrxdntz
k q d c f j	kqdcfj
f b c m g j z l	fbcmgjzl
h c x k t j l	hcxktjl
l s q n m v w	lsqnmvw
j w v g z l s k h x	jwvgzlskhx
b k p s c w l t j f m	bkpscwltjfm
j b z r m p q l h v	jbzrmpqlhv
w v j p x n l	wvjpxnl
p b d n k r g s	pbdnkrgs
h j r g t q x	hjrgtqx
m v h k	mvhk
c x s b j h r f k	cxsbjhrfk
t j l s n m z p	tjlsnmzp
l b r w k n s x j	lbrwknsxj
q g l w	qglw
v r f n z s	vrfnzs
s w l c d r n t k v f	swlcdrntkvf
w c r l n	wcrln
g j p x d	gjpxd
t x p d	txpd
r l g w x m k d p v	rlgwxmkdpv
v c r f	vcrf
h j b x t m l q v	hjbxtmlqv
x w n m s k d j	xwnmskdj
l s r j n g h	lsrjngh
t g n s	tgns
b g d	bgd
k j b f p c d n h	kjbfpcdnh
p t w d x b z v m	ptwdxbzvm
b q x p s	bqxps
t m g f s c	tmgfsc
x f k d c t s	xfkdcts
f t h m	fthm
d c v j x r l z	dcvjxrlz
d p j	dpj
r q m w h f	rqmwhf
l c t k g	lctkg
x t w	xtw
d f n	dfn
g s z b r v h n f	gszbrvhnf
l b h v x g c j q m p	lbhvxgcjqmp
x b s d j g	xbsdjg
c m d r p w f h q	cmdrpwfhq
p l c	plc
h q j s n r m	hqjsnrm
k x v	kxv
k g z d	kgzd
f m d s x p c b z n	fmdsxpcbzn
n v k	nvk
v h g z t f	vhgztf
q s k t z n	qsktzn
f c s x m p q	fcsxmpq
s m l q t z w r x j	smlqtzwrxj
m q b p w k h l d	mqbpwkhld
j g z m t b	jgzmtb
j t f w	jtfw
p m g w f j c x t b	pmgwfjcxtb
d j s f n q h x	djsfnqhx
k w q p l g c x	kwqplgcx
b s c r q	bscrq
f d z	fdz
g s v f d w m z c	gsvfdwmzc
c t x j w r g m l	ctxjwrgml
w n c v m	wncvm
s f v q	sfvq
w x k n s v c t b l r	wxknsvctblr
r p q v s x m h k g	rpqvsxmhkg
t x m k q j f s	txmkqjfs
q l z j p n	qlzjpn
z t s p v w	ztspvw
d p c l	dpcl
v f c g s r h b k	vfcgsrhbk
j w l s q p c n	jwlsqpcn
k n r v z w b	knrvzwb
g v n h c d z q x t	gvnhcdzqxt
l x w d z f m g b h q	lxwdzfmgbhq
k z j c m p s h v r t w	kzjcmpshvrtw
s m f z p l k	smfzplk
x l h t d v r f b z k	xlhtdvrfbzk
f m s	fms
d w f t c s	dwftcs
n r b q x s d	nrbqxsd
s q d r m g h	sqdrmgh
x h s v w k r c	xhsvwkrc
w h c t x q	whctxq
c p v n q	cpvnq
p s g v	psgv
g l k n	glkn
k q p c w d t v	kqpcwdtv
d m k r x w v g f t p	dmkrxwvgftp
z r s h d	zrshd
c f x z g t b j	cfxzgtbj
k t w x l n h z	ktwxlnhz
k m n p w r s l x d v	kmnpwrslxdv
f h q t r c z k	fhqtrczk
h t g q l v p x j r s z	htgqlvpxjrsz
n l w r p f b	nlwrpfb
n z h r v q	nzhrvq
w n s t	wnst
s z g l	szgl
m q l n d	mqlnd
s g w j p	sgwjp
v t z c p h d l q	vtzcphdlq
s f h b j k	sfhbjk
b w c h s k p	bwchskp
b n g h r k d z x t w v	bnghrkdzxtwv
v t l g c	vtlgc
m c g p h r f j q	mcgphrfjq
l t p g x k n s d	ltpgxknsd
t p s k d x r f	tpskdxrf
p x l m	pxlm
g d h k w p c x m	gdhkwpcxm
g p l d k t m h n j c	gpldktmhnjc
t x k v p f b z r	txkvpfbzr
l m c d	lmcd
x n s m q	xnsmq
w q v b	wqvb
d c h q m s	dchqms
p c h w k n x f j	pchwknxfj
q x r j	qxrj
k n f q z l c h v	knfqzlchv
c v b s m h l g p x f	cvbsmhlgpxf
d g x z c b r j	dgxzcbrj
h f p s x w q l j	hfpsxwqlj
n l w x q t g h m f j v p	nlwxqtghmfjvp
d n s x t p l f	dnsxtplf
q g l m w t	qglmwt
c w z t h g p q m	cwzthgpqm
p q k r n z s d	pqkrnzsd
z g t b c k j m	zgtbckjm
z s q l c f	zsqlcf
l j p k d	ljpkd
s k t	skt
h q w j s p v c z	hqwjspvcz
c r g k v t	crgkvt
c h f z k p b	chfzkpb
c q g b k v r p f	cqgbkvrpf
b w d p	bwdp
m g d	mgd
t c v g f q d r	tcvgfqdr
w v k h n z	wvkhnz
x l z m q p h	xlzmqph
m t f n j v r x	mtfnjvrx
x p c s w d v	xpcswdv
p h j z x	phjzx
x b m f c	xbmfc
v r w f j s k	vrwfjsk
d j z b p k m v t q g	djzbpkmvtqg
t j g h z v w b s d	tjghzvwbsd
r p g x w k	rpgxwk
p h z v s q k j f	phzvsqkjf
q n b c s w	qnbcsw
g t l	gtl
q v b n c x t w d z j	qvbncxtwdzj
l j d	ljd
t s r c j d n g v x h l z f	tsrcjdngvxhlzf
s d n z p	sdnzp
c v d t z q s	cvdtzqs
b m s j z v r g c	bmsjzvrgc
