input1	label
h e r d s	herds
c o r s i c a	corsica
b i o e t h i c s	bioethics
r e d o	redo
p e n e t r a t e d	penetrated
s e i n	sein
p i r a n h a	piranha
r p s	rps
c m u	cmu
u n c o m p r e s s e d	uncompressed
v p s	vps
p s e u d o m o n a s	pseudomonas
a d d e r	adder
s o t h e b y	sotheby
w e a k e s t	weakest
w e a k e n i n g	weakening
a v i o n i c s	avionics
m i n i m i z a t i o n	minimization
n o m e	nome
a s c o t	ascot
t h o r n e	thorne
l i n e a r l y	linearly
d o l a n	dolan
t i t l e i s t	titleist
a n t i c i p a t e s	anticipates
g e n e s e e	genesee
p o i g n a n t	poignant
g e r m s	germs
g r a y s	grays
f d c	fdc
f r e e s	frees
p u n i s h a b l e	punishable
f r a c t u r e d	fractured
p s y c h i a t r i s t s	psychiatrists
b o m	bom
w a t e r m a n	waterman
b r a t	brat
u r a n u s	uranus
m u l t i p l e x	multiplex
s r t	srt
s a l i e n t	salient
b r a d b u r y	bradbury
b a b y s i t t i n g	babysitting
g a b e	gabe
a s d	asd
b e e h i v e	beehive
c e n s o r	censor
a e o n	aeon
l i v i n	livin
l e b l a n c	leblanc
s h o r t y	shorty
i n j e c t i n g	injecting
d i s c o n t i n u i t y	discontinuity
s e m i t i c	semitic
l i t t l e w o o d s	littlewoods
w i t s	wits
e n q u i r e r	enquirer
p e r v e r t e d	perverted
d o w n t u r n	downturn
b o r d e r i n g	bordering
f i s s i o n	fission
m o d u l a t o r	modulator
w i d o w e d	widowed
s p y b o t	spybot
h r c	hrc
t o m b s t o n e	tombstone
w o r l d v i e w	worldview
c h o r e o g r a p h y	choreography
s f x	sfx
n t h	nth
b e g g e d	begged
b u f f e r i n g	buffering
d e n i s o n	denison
k i l l a r n e y	killarney
f l u s h e d	flushed
s c o p i n g	scoping
c a u t i o n s	cautions
l a v i s h	lavish
r o s c o e	roscoe
s r m	srm
b r i g h t e n	brighten
v i x e n	vixen
m a m m o g r a p h y	mammography
w h i p s	whips
m a r c h e s	marches
e p c	epc
n e p a l e s e	nepalese
x x i	xxi
c o m m u n i c a b l e	communicable
e n z y m a t i c	enzymatic
m e l a n o g a s t e r	melanogaster
e x t r a v a g a n z a	extravaganza
a n e w	anew
c o m m a n d m e n t	commandment
u n d e t e r m i n e d	undetermined
k a m l o o p s	kamloops
h o r n e r	horner
y a h	yah
s p s s	spss
c o n c e d e d	conceded
t f t p	tftp
c i r c u m f e r e n c e	circumference
p o s t p o n e	postpone
r o t h e r h a m	rotherham
u n d e r e s t i m a t e	underestimate
d i s p r o p o r t i o n a t e	disproportionate
p h e a s a n t	pheasant
h a n a	hana
a l o n s o	alonso
b a l l y	bally
z i j n	zijn
g u i l l a u m e	guillaume
m y c a r e e r	mycareer
m a r r y i n g	marrying
p r a	pra
c a r v i n g s	carvings
c o o l e y	cooley
g r a t u i t e m e n t	gratuitement
e r i k s s o n	eriksson
s c h a u m b u r g	schaumburg
e x p o n e n t i a l l y	exponentially
c h e c h e n	chechen
c a r r i b e a n	carribean
c o m p l a i n s	complains
b u n n i e s	bunnies
c h o p p e r s	choppers
p s y c	psyc
p e d e r s e n	pedersen
e a r p h o n e s	earphones
o u t f l o w	outflow
r e s i d e d	resided
t e r r i e r s	terriers
s c a r a b	scarab
t o a s t e r s	toasters
s k i e r s	skiers
e a x	eax
j a m a l	jamal
w e a s e l	weasel
r a u n c h y	raunchy
b i o l o g i c a l l y	biologically
n b r	nbr
p t c	ptc
v e n e r a b l e	venerable
z y r t e c	zyrtec
p r e i s	preis
r i y a d h	riyadh
p e l l	pell
t o a s t e d	toasted
a d m i r a b l e	admirable
i l l u m i n a t e	illuminate
q u i c k s e a r c h	quicksearch
h o l b r o o k	holbrook
f a d e s	fades
c o a t e s	coates
o c t a n e	octane
b u l g e	bulge
m t l	mtl
k r a b i	krabi
e l l e r	eller
l u c i n d a	lucinda
f u n d e r s	funders
a p j	apj
k a l	kal
b r i t t l e	brittle
f a i	fai
c c p	ccp
e n v i r o n m e n t a l i s t s	environmentalists
f a t a h	fatah
i f a	ifa
b a n d i t s	bandits
p o l i t e l y	politely
a c k e r m a n	ackerman
g b c	gbc
s o o o o	soooo
s o a p b o x	soapbox
n e w b e r r y	newberry
d e s d e	desde
w a t e r m e l o n	watermelon
i n g e n i o u s	ingenious
d e a n n a	deanna
c a r o l s	carols
b e s t e l l e n	bestellen
p e n s i o n e r s	pensioners
e l o n g a t i o n	elongation
w e b c r a w l e r	webcrawler
w a n k i n g	wanking
o f s t e d	ofsted
d o r t m u n d	dortmund
o b a d i a h	obadiah
m a n n h e i m	mannheim
b o a r d r o o m	boardroom
n i c o	nico
t a p i n g	taping
m r o	mro
a t l e a s t	atleast
s o m a t i c	somatic
f c s	fcs
n i k i	niki
m a l l o c	malloc
h e p b u r n	hepburn
f e t c h e d	fetched
l a n z a r o t e	lanzarote
a l d e r m a n	alderman
s l u m p	slump
n e r d s	nerds
l a u d e	laude
m e c	mec
l o c k w o o d	lockwood
s i m u l a t i n g	simulating
c o u g h i n g	coughing
h i a t u s	hiatus
e n r o l	enrol
u p h o l s t e r e d	upholstered
e v a n g e l i s t	evangelist
l o u v r e	louvre
b t s	bts
s p u r i o u s	spurious
c f l a g s	cflags
g l o o m	gloom
s e v e r n	severn
x p s	xps
d a t a f i e l d n a m e	datafieldname
w y c l i f f e	wycliffe
d d a	dda
a p t s	apts
a i k i d o	aikido
s l o	slo
b a t c h e s	batches
d a p	dap
a n g e l i c	angelic
s s r	ssr
a s t r o l o g i c a l	astrological
k o u r n i k o v a	kournikova
m o s h e	moshe
n o b i l i t y	nobility
f s b o	fsbo
s h i p p e r s	shippers
m t c	mtc
c a v	cav
r r r	rrr
w i l d f l o w e r s	wildflowers
b a y e r n	bayern
p o l y g o n s	polygons
d e l i m i t e d	delimited
n o n c o m p l i a n c e	noncompliance
u p i	upi
a f t e r n o o n s	afternoons
r a m i f i c a t i o n s	ramifications
w a k e s	wakes
a s h o r e	ashore
w o r k m a n	workman
s w i m m e r	swimmer
s i t i o	sitio
s n a	sna
u n l o a d	unload
v i d s v i d s v i d s	vidsvidsvids
h e r t s	herts
b e l l a g i o	bellagio
w e b a p p	webapp
h a r y a n a	haryana
e e g	eeg
d l l s	dlls
l o o n	loon
b a b y s i t t e r	babysitter
l i n o t y p e	linotype
p r o d u k t e	produkte
l e s b i c a	lesbica
m a r g e	marge
p e s	pes
m e d i a t o r s	mediators
h o n e	hone
r i g g s	riggs
j o c k e y s	jockeys
w a n d e r e r s	wanderers
s e a t e r	seater
b r i g h t s t o r	brightstor
d e l i v e r a b l e	deliverable
s i p s	sips
b a d n e s s	badness
s a n d i n g	sanding
u n d e r t a k e s	undertakes
m i s c a r r i a g e	miscarriage
v u l g a t e	vulgate
s t o n e d	stoned
b u f f e r e d	buffered
p r o v o k e d	provoked
o r t o n	orton
i n d e s i g n	indesign
l a k e s h o r e	lakeshore
c t l	ctl
h e r r	herr
f a b l e s	fables
a l a n d	aland
c l a r i n s	clarins
p e l h a m	pelham
h u f	huf
c r u m b s	crumbs
w o r t	wort
r o n i n	ronin
c o m p s	comps
m g i	mgi
g r e c o	greco
k o n t a k t e	kontakte
p a l i s a d e s	palisades
e d e m a	edema
c o n f i d e n t l y	confidently
l e a d e r b o a r d	leaderboard
c o m m e n c e s	commences
m c e	mce
d i s p e n s e	dispense
h s v	hsv
g e o c i t i e s	geocities
a r g c	argc
d a n g e r o u s l y	dangerously
f i g a r o	figaro
s a d i e	sadie
p a l o s	palos
o r i	ori
p r o t e s t e d	protested
c a p i t a l i s t s	capitalists
c a r o t i d	carotid
a c c u s i n g	accusing
s t i n k	stink
c o n v e n t	convent
v a l d e z	valdez
c i t i	citi
c h i l d i s h	childish
s q u i s h	squish
c n y	cny
g o r h a m	gorham
a d h e r e d	adhered
p r i e s t h o o d	priesthood
c a l p h a l o n	calphalon
b l a s e n	blasen
j a g g e d	jagged
m i d w i v e s	midwives
n a r a	nara
n a b	nab
n e t b e a n s	netbeans
c y c l o n e s	cyclones
d i s p e r s a l	dispersal
t a p e t y	tapety
o v e r t	overt
s n o w f l a k e	snowflake
b l a c k h a w k	blackhawk
w e i n s t e i n	weinstein
v e r b a l l y	verbally
s q u e a k	squeak
s t e r i l i z a t i o n	sterilization
a s s e s s o r s	assessors
c h e n i l l e	chenille
d e h y d r a t i o n	dehydration
h a i r c u t	haircut
f h w a	fhwa
m i s c o n c e p t i o n s	misconceptions
c o n s t i t u t i n g	constituting
a l t e r n e t	alternet
u n d e c l a r e d	undeclared
b a r i	bari
n u n s	nuns
s o n g w r i t e r s	songwriters
t o l e r a n c e s	tolerances
i n c a r c e r a t i o n	incarceration
p r o n o u n c e	pronounce
s c o r p i o n s	scorpions
h i e r a r c h i e s	hierarchies
r e d o n d o	redondo
l a c t a t i n g	lactating
i n c o m p l e t e n e s s	incompleteness
t h u r s t o n	thurston
a q u a m a r i n e	aquamarine
d e a r l y	dearly
s u g g e s t i v e	suggestive
e d m	edm
s e d i m e n t a t i o n	sedimentation
o p t o m e t r y	optometry
o s a	osa
e l e c t r i f i e d	electrified
m o b i l i z e	mobilize
a t t e n d e e	attendee
u n b a l a n c e d	unbalanced
b m d	bmd
d i a l o g s	dialogs
r p t	rpt
g y p s u m	gypsum
s l i m e	slime
b a r o n e s s	baroness
v i k t o r	viktor
t r a j e c t o r i e s	trajectories
w i n n i n g s	winnings
f e d e r i c o	federico
i m a g i n a b l e	imaginable
o p e n v m s	openvms
p p o	ppo
b r o m i d e	bromide
p a g	pag
p r e c i o	precio
l e a p f r o g	leapfrog
l u i	lui
t h e r m o p l a s t i c	thermoplastic
c r u s a d e r s	crusaders
s u m m i n g	summing
l a m e n t	lament
g r e g o r	gregor
t e r r a c e s	terraces
s e x c h a t	sexchat
c a n y o n s	canyons
k i n g m a n	kingman
p r e d a t o r y	predatory
t o w n e	towne
d e s c e n d a n t	descendant
d i s g u s t	disgust
d e t e r r e n t	deterrent
g h r a i b	ghraib
b a n k e d	banked
d u p l i c a t i n g	duplicating
r a t i o n a l i t y	rationality
s c r e w i n g	screwing
d i s m a l	dismal
r a n c h e s	ranches
c o c h i n	cochin
w i p o	wipo
t u b a	tuba
p r o l o g u e	prologue
e n c o d e s	encodes
w h a l i n g	whaling
g a r a m o n d	garamond
c i r r u s	cirrus
a l a n i s	alanis
k i l o m e t e r	kilometer
p a t r o l s	patrols
b a l l a r a t	ballarat
w a c o m	wacom
s t u m b l i n g	stumbling
s w u n g	swung
n s t a	nsta
o u t l a w s	outlaws
a c t i o n s c r i p t	actionscript
s i n n	sinn
w a v e d	waved
i v f	ivf
m o d i f i e r s	modifiers
h i j a c k	hijack
l i b e l	libel
e l l i p s e	ellipse
t h o m a s v i l l e	thomasville
a c c o r d e d	accorded
a l a r m e d	alarmed
j u s t i n e	justine
f r y e r	fryer
j e s t	jest
n a m c o	namco
g a r d a	garda
x m m s	xmms
e s k i m o	eskimo
c a e s a r s	caesars
d a m m i t	dammit
l u c e	luce
p r o d u k t e r	produkter
m o t o r h o m e	motorhome
a d e	ade
m f r s	mfrs
e d i t a b l e	editable
g r e a t s	greats
m i l o s e v i c	milosevic
m a r c y	marcy
b o r o n	boron
c r e i g h t o n	creighton
s t r a p p e d	strapped
w o l f e n s t e i n	wolfenstein
b o l i v i a n	bolivian
r o w b o x	rowbox
r e l u c t a n t l y	reluctantly
p a u l s	pauls
p h o b i a	phobia
s u p e r f u n d	superfund
w o o d w o r k	woodwork
v c c	vcc
s a d l e r	sadler
c e n t r i f u g a l	centrifugal
a u t h o r s h i p	authorship
p i e r c i n g s	piercings
r i f f s	riffs
c a v i t i e s	cavities
b u x t o n	buxton
c r a v i n g s	cravings
d e c i d e d l y	decidedly
p a u	pau
a p a t h y	apathy
b r i a n a	briana
m e r c a n t i l e	mercantile
s t a l l e d	stalled
i n f u s e d	infused
g e r o n i m o	geronimo
p e a k e d	peaked
s t r o n g h o l d	stronghold
t e t r a	tetra
h u x l e y	huxley
f r e a k i n	freakin
a l b	alb
r e t r o f i t	retrofit
m o r i t z	moritz
b e a r d e d	bearded
c y t o k i n e	cytokine
s t y l e s h e e t s	stylesheets
g r e a s y	greasy
c o a l i t i o n s	coalitions
t a c t i l e	tactile
v o w e d	vowed
c i n e m a t o g r a p h y	cinematography
v i v i t a r	vivitar
w a n n a b e	wannabe
c a r n a g e	carnage
b l o g w i s e	blogwise
a s h e r	asher
a m a d o r	amador
s k i e r	skier
s t o r y t e l l e r	storyteller
b p a	bpa
p e l i c u l a	pelicula
i n g e n u i t y	ingenuity
i s c h e m i a	ischemia
f m s	fms
m o r t	mort
c o m p u t	comput
i n f e s t e d	infested
w r i s t b a n d s	wristbands
c r e e k s	creeks
l i v e c a m s	livecams
b e s s i e	bessie
h i b i s c u s	hibiscus
a d e l e	adele
r h e u m a t o l o g y	rheumatology
e d n	edn
s o m e r s	somers
o t a	ota
r a t t a n	rattan
c o r o n e r	coroner
c r a y	cray
i o l	iol
i r r e g u l a r i t i e s	irregularities
t i l e d	tiled
w a t e r b u r y	waterbury
s e l e c t i v i t y	selectivity
c a r l o w	carlow
e l a b o r a t i o n	elaboration
m a x x	maxx
h e c t i c	hectic
h a g g a i	haggai
d e m o n s t r a t o r s	demonstrators
r a i s e r	raiser
s a n g e r	sanger
m u l l e n	mullen
p e r i p h e r y	periphery
p r e d i c t o r s	predictors
l u n	lun
s n u f f	snuff
c o n v e n e	convene
w o o d w i n d	woodwind
s n l	snl
v a i	vai
m o d b l o g	modblog
c a l m l y	calmly
h o r r i b l y	horribly
r e p o	repo
b u r n l e y	burnley
d i l u t e	dilute
a n t i s p y w a r e	antispyware
s u m t e r	sumter
r c d	rcd
c o n t e m p l a t i o n	contemplation
w o o d s i d e	woodside
s i n o	sino
u h r	uhr
c a r t a	carta
t y l e n o l	tylenol
g a s e o u s	gaseous
m e g a b y t e s	megabytes
b a c k l i g h t	backlight
a f f l i c t e d	afflicted
g l o o m y	gloomy
k i r k w o o d	kirkwood
n a t u r i s t	naturist
z e p h a n i a h	zephaniah
a i r b a g s	airbags
p l e t h o r a	plethora
c a b r i o l e t	cabriolet
r e t i r e e	retiree
a t o l	atol
s o n e t	sonet
a n t h r o p o l o g i c a l	anthropological
m i k a s a	mikasa
i v e r s o n	iverson
o r c h a r d s	orchards
c a e	cae
p r o p h e c i e s	prophecies
b u c k e y e	buckeye
d o l l h o u s e	dollhouse
s t e r e o t y p e	stereotype
u s h i p	uship
u b i s o f t	ubisoft
e s c a l a d e	escalade
b r e a k a w a y	breakaway
p r o d u k t	produkt
m a r q u e s	marques
s e a l a n t s	sealants
m o n t c l a i r	montclair
s e p t u a g i n t	septuagint
d i n g h y	dinghy
p e r t a i n s	pertains
g n u s	gnus
m e l i a	melia
f e e d b a c k s	feedbacks
c o n c u r r e n c y	concurrency
h e a l t h g r a d e s	healthgrades
c l o t h e d	clothed
p l u m m e r	plummer
h o y a	hoya
r e v i s t a	revista
i t a l i a n s	italians
l r c	lrc
f l i e d	flied
t a l o n	talon
t v r	tvr
r e p e l l e n t	repellent
j o l i e t	joliet
p e d	ped
c h a p p e l l	chappell
w o l l o n g o n g	wollongong
p e o	peo
b l o w e r s	blowers
l a v a l	laval
s o r c e r y	sorcery
d o u b l e d a y	doubleday
g u i d a n t	guidant
a b s t a i n	abstain
e l s i e	elsie
r e m o d e l e d	remodeled
b a r r i n g	barring
e e a	eea
u n d e r m i n e d	undermined
b c p	bcp
s i t u a t i o n a l	situational
n a s d	nasd
t i d	tid
b e s t o w e d	bestowed
c h a k r a	chakra
h a b e a s	habeas
d f a	dfa
i n a c t i v i t y	inactivity
c r e w e	crewe
j a m m u	jammu
g r a s s y	grassy
a p r o n s	aprons
c l u m s y	clumsy
w e t s u i t s	wetsuits
e d c	edc
b i r k e n s t o c k	birkenstock
v i v e n d i	vivendi
c o l u m b i a n	columbian
e m u l s i o n	emulsion
f i e l d e r	fielder
s o r t a	sorta
a y r	ayr
c o u r s e w a r e	courseware
b i o s p h e r e	biosphere
s k b	skb
p l u m p e r s	plumpers
m u s c h i	muschi
p o u n d e d	pounded
q c d	qcd
o l l i e	ollie
c a r r i n g t o n	carrington
s t i n t	stint
g u r g a o n	gurgaon
r w x r	rwxr
f e d e r a l i s m	federalism
g i z m o d o	gizmodo
r o u s s e a u	rousseau
s a r c a s m	sarcasm
l a m i n a t i n g	laminating
c o l t r a n e	coltrane
a c c o m p l i s h i n g	accomplishing
c o l i t i s	colitis
u n i n c o r p o r a t e d	unincorporated
l i a n g	liang
b l o g g e d	blogged
c r y o g e n i c	cryogenic
a n t i s p a m	antispam
h o m o l o g o u s	homologous
o v e r t u r n e d	overturned
u p h i l l	uphill
h a s s l e s	hassles
m a x i m u s	maximus
s y m p t o m a t i c	symptomatic
w a r m e d	warmed
r t c	rtc
p a r a b l e	parable
j o l t	jolt
a f f o r d s	affords
t r a d e m a n a g e r	trademanager
b i p a r t i s a n	bipartisan
r h o d i u m	rhodium
e x c h a n g e r	exchanger
p r e s e a s o n	preseason
j a n u a r	januar
b u m b l e	bumble
i n t i m i d a t i n g	intimidating
d e a d l o c k	deadlock
r a n d i	randi
p l a c e n t a	placenta
a b b o t s f o r d	abbotsford
u p n	upn
d u l l e s	dulles
b r a i n s t o r m i n g	brainstorming
w e a	wea
d e r i v i n g	deriving
d o u g h e r t y	dougherty
s a r c o m a	sarcoma
s n i f f e r	sniffer
q u a d r a n g l e	quadrangle
r o t o r u a	rotorua
e l e c t s	elects
l i e b e	liebe
b a h a s a	bahasa
e r a d i c a t e	eradicate
i o n a	iona
b i o s c i e n c e	bioscience
t r i c i a	tricia
r e s i d u a l s	residuals
g f o r g e	gforge
l i k e n e s s	likeness
r a l	ral
c o p d	copd
j e m	jem
h o m i e	homie
u n t e r	unter
a l p a c a	alpaca
d e g r a d e	degrade
l e e s b u r g	leesburg
a f m	afm
x r e f	xref
f l a s h p o i n t	flashpoint
f l e m i s h	flemish
m o b y g a m e s	mobygames
c o r t l a n d	cortland
s h r e d	shred
m a i l e r s	mailers
c o n s e i l	conseil
t e n t e d	tented
s t e a m e d	steamed
n i c h o l l s	nicholls
s k e w	skew
m a h o n e y	mahoney
i n f o p l e a s e	infoplease
a r o u s e d	aroused
b u d d	budd
a c n	acn
h o l l a n d s	hollands
m u n i	muni
m o d e r n i s m	modernism
r e m i t t a n c e	remittance
s i e v e	sieve
b l o c h	bloch
a l i e n a t i o n	alienation
e l i z a b e t h t o w n	elizabethtown
d u n h i l l	dunhill
e e e	eee
d i d n	didn
g u i d e b o o k s	guidebooks
r e d d i s h	reddish
s c o t t s	scotts
w y e	wye
w s j	wsj
b i o s c i e n c e s	biosciences
m a c g r e g o r	macgregor
a t m s	atms
h a b a k k u k	habakkuk
d e p a u l	depaul
b i n g e	binge
i m p u l s e s	impulses
i n t e r p o l	interpol
p l e a d s	pleads
w h i t b y	whitby
c y s t	cyst
h e x a d e c i m a l	hexadecimal
s c i s s o r	scissor
g o l i a t h	goliath
p r o g r a	progra
s m y t h	smyth
c a p r i c e	caprice
m o t t	mott
h o r s	hors
h o r n e d	horned
j a z z y	jazzy
h e a d b o a r d	headboard
f o w l	fowl
j a n u s	janus
d i f l u c a n	diflucan
h e s t e r	hester
b r o n s o n	bronson
b e n e v o l e n t	benevolent
s u p e r s t i t i o n	superstition
s t a n d a r d i s e d	standardised
c a t i o n s	cations
c i c s	cics
c o h o r t s	cohorts
e c o l e	ecole
c e n t o s	centos
h y s t e r e c t o m y	hysterectomy
h o u s i n g s	housings
w r c	wrc
c a m i l l a	camilla
m o v a d o	movado
m c d o n o u g h	mcdonough
k r i s t a	krista
p h a r m a c o k i n e t i c s	pharmacokinetics
c h a n t a l	chantal
m o r r i s t o w n	morristown
r i v e r v i e w	riverview
l o o p b a c k	loopback
t o r s i o n	torsion
u l t r a s t r u c t u r e	ultrastructure
r a r i t y	rarity
l i m b o	limbo
l u c i d a	lucida
s h o v e	shove
l e f t o v e r	leftover
s y k e s	sykes
a n e c d o t a l	anecdotal
r h e i m s	rheims
i n t e g r a t o r s	integrators
a c c u s a t i o n	accusation
u n l v	unlv
b e r n a r d o	bernardo
a r b o r e t u m	arboretum
s h a r e a l i k e	sharealike
f l a k e	flake
l o w e p r o	lowepro
e r c	erc
i s c h e m i c	ischemic
i l l u s t r a t o r s	illustrators
h a t i n g	hating
p a t e	pate
s e w e r s	sewers
s p o r e s	spores
p l u g g i n g	plugging
m a h m o u d	mahmoud
m a c b o o k	macbook
b j p	bjp
a r e n t	arent
v i g n e t t e	vignette
s h e a r s	shears
m u c h o	mucho
h o m e b r e w	homebrew
a l t o o n a	altoona
p h e r o m o n e	pheromone
f i r e b a l l	fireball
f l u t e s	flutes
t a b e r n a c l e	tabernacle
d e c o r a t o r	decorator
f r a n k e n	franken
n e t p b m	netpbm
m i n c e d	minced
a n t a l y a	antalya
h a r m o n i o u s	harmonious
n n e	nne
r e c o r d k e e p i n g	recordkeeping
w e s t e r l y	westerly
m o d e r n i s a t i o n	modernisation
d e s p a t c h e d	despatched
m y x	myx
m u n i t i o n s	munitions
s d r	sdr
m u s k e g o n	muskegon
s y m m e t r i c a l	symmetrical
d a l e y	daley
m o d a l i t y	modality
l i b e r a l i s a t i o n	liberalisation
o r n a t e	ornate
u t i l i s e	utilise
m i d w i f e	midwife
a r t u r o	arturo
a p p e l l e e	appellee
g r a n u l e s	granules
u n i f o r m e d	uniformed
m u l t i d i m e n s i o n a l	multidimensional
r o l l o u t	rollout
s n u g	snug
h o m e g r o w n	homegrown
d a t a m o n i t o r	datamonitor
r e i n f o r c e s	reinforces
c o v e t e d	coveted
d i r h a m	dirham
l e a h y	leahy
m y c	myc
p r o h i b i t i o n s	prohibitions
e s o p h a g e a l	esophageal
m o u l d e d	moulded
d e c e i v e d	deceived
k i r a	kira
c o n v i c t	convict
a p p r o x i m a t i o n s	approximations
f o r z i e r i	forzieri
i n t e r m e d i a t e s	intermediates
k g s	kgs
a l b u m i n	albumin
g r a n t e e s	grantees
n a i	nai
t o s s i n g	tossing
l o v e l a n d	loveland
r e g u l a r i t y	regularity
m a l o n e y	maloney
c r i t i c i s e d	criticised
s a t i v a	sativa
l a w f u l l y	lawfully
p a r a m e d i c	paramedic
t r a d e m a r k e d	trademarked
e d g e w o o d	edgewood
g o e t h e	goethe
s t r e s s i n g	stressing
s l a d e	slade
p o t a b l e	potable
l i m p o p o	limpopo
i n t e n s i t i e s	intensities
o n c o g e n e	oncogene
d u m a s	dumas
a n t i d e p r e s s a n t	antidepressant
j e s t e r	jester
n o t i f i e s	notifies
r e c o u n t	recount
b a l l p a r k	ballpark
p o w y s	powys
o r c a	orca
m a s c a r a	mascara
p r o l i n e	proline
d e a r e s t	dearest
m o l i n a	molina
n e m a	nema
n o o k	nook
w i p e r s	wipers
s n o o p y	snoopy
i n f o r m a t i o n e n	informationen
c o m m e n s u r a t e	commensurate
e s f	esf
r i v e r d a l e	riverdale
s c h i l l e r	schiller
b o w l e r	bowler
u n l e a s h	unleash
j u e l z	juelz
b l s	bls
n o a r c h	noarch
k o s s	koss
c a p t i o n e d	captioned
p a q	paq
w i s e r	wiser
g a l l a n t	gallant
s u m m a r i z i n g	summarizing
u c s d	ucsd
d i s b e l i e f	disbelief
g l e a s o n	gleason
g o n	gon
b a r i t o n e	baritone
u n q u a l i f i e d	unqualified
c a u t i o n e d	cautioned
r e c o l l e c t i o n	recollection
i n d e p e n d a n t	independant
c h l a m y d i a	chlamydia
r e l a t i v i s t i c	relativistic
r o t o r s	rotors
d r i s c o l l	driscoll
a n d a l u c i a	andalucia
m u l h e r	mulher
b a g e l s	bagels
l o c o m o t i v e s	locomotives
c o n d e m n s	condemns
f a s t e n i n g	fastening
j e w e l e r	jeweler
s u b l i m i n a l	subliminal
i n s e c t i c i d e	insecticide
n u r e m b e r g	nuremberg
s e g a l	segal
o s t r i c h	ostrich
m a u d	maud
s p l i n e	spline
u n d i s c l o s e d	undisclosed
f l i r t i n g	flirting
n o n i	noni
l e t t e r m a n	letterman
a l m e r i a	almeria
b r y s o n	bryson
m i s p l a c e d	misplaced
p r o s e c u t i o n s	prosecutions
w t b	wtb
d i d o	dido
t o w s o n	towson
p o i s o n e d	poisoned
r e s e a r c h e s	researches
h t a c c e s s	htaccess
m a l a y a l a m	malayalam
c h o u	chou
d i s c r i m i n a t i n g	discriminating
c r u e	crue
l o o	loo
p i n o y	pinoy
p a l l e t s	pallets
u p l i n k	uplink
s h e b o y g a n	sheboygan
e x c l a m a t i o n	exclamation
c o l l i n g w o o d	collingwood
t e r r e n c e	terrence
i n t e r c e p t e d	intercepted
g h c	ghc
a s c e n d a n t	ascendant
f l u n g	flung
g a t e s h e a d	gateshead
p r o b a t i o n a r y	probationary
a b d u c t e d	abducted
w a r l o c k	warlock
b r e a k u p	breakup
c l o v i s	clovis
f i c h e	fiche
j u r o r	juror
e a m	eam
b o w d e n	bowden
g o g g l e	goggle
r a i l i n g	railing
m e t a b o l i t e s	metabolites
c r e m a t i o n	cremation
b r a i n s t o r m	brainstorm
b a n t e r	banter
b a l c o n i e s	balconies
s m u	smu
a w a k e n	awaken
a h l	ahl
b a t e m a n	bateman
e g c s	egcs
c h i r a c	chirac
m u s e o	museo
p i g e o n s	pigeons
c o f f e e h o u s e	coffeehouse
s i n g u l a r i t y	singularity
s c i t e c h	scitech
s i g n i f y	signify
g r a n d d a u g h t e r	granddaughter
g c n	gcn
t r o l l i n g	trolling
e l m o r e	elmore
s u b d i r e c t o r y	subdirectory
b a n c r o f t	bancroft
p r o g e n y	progeny
g r a d s	grads
a l t e r s	alters
a n d i	andi
l o c a l p r e f	localpref
k a y l a	kayla
c c l	ccl
g r a t e f u l l y	gratefully
d i v e r g e n t	divergent
f l e e t s	fleets
s m e g	smeg
d o r i a n	dorian
d o n u t	donut
l i b i d o	libido
j u l i	juli
f u s e l a g e	fuselage
d i a b e t i c s	diabetics
t a c k l e d	tackled
b a l l e r i n a	ballerina
c r p	crp
s h o a l s	shoals
m o r g a n t o w n	morgantown
p a s e o	paseo
t r i b u t a r y	tributary
c l i q u e	clique
r o s y	rosy
p t s d	ptsd
r e d h e a d s	redheads
c u r r a n	curran
d i a m	diam
s a t a n i c	satanic
r a g n a r o k	ragnarok
s t u b b s	stubbs
h k d	hkd
s u m m a r i s e d	summarised
d u r c h	durch
t o r m e n t	torment
m u s s e l s	mussels
c a i t l i n	caitlin
e m i g r a t i o n	emigration
c o n s c i e n t i o u s	conscientious
h o w l	howl
b a n d a i	bandai
h o b s	hobs
w e l	wel
i g l e s i a s	iglesias
e f t	eft
e n d o m e t r i o s i s	endometriosis
c u s h i o n i n g	cushioning
h i r	hir
m c n e i l	mcneil
e c c l e s i a s t i c a l	ecclesiastical
c r i p p l e d	crippled
b e l v e d e r e	belvedere
h i l l t o p	hilltop
t a b o r	tabor
p e u t	peut
n a r	nar
t e n e t	tenet
a c e t y l	acetyl
b o o m e r	boomer
f i f t e e n t h	fifteenth
c h u t e	chute
p e r i n a t a l	perinatal
i d m	idm
a u t o m a k e	automake
m u l t i c h a n n e l	multichannel
p e t r	petr
b o h e m i a	bohemia
d a r e d e v i l	daredevil
c o r c o r a n	corcoran
m o u n t a i n o u s	mountainous
m r p	mrp
h o l l i d a y	holliday
d a i m l e r c h r y s l e r	daimlerchrysler
f o n d s	fonds
b o w e s	bowes
m c g o w a n	mcgowan
a g f a	agfa
o g r e	ogre
u n f o r e s e e n	unforeseen
p i c k l e s	pickles
s u b m i s s i v e	submissive
m e p	mep
c u r s e s	curses
g o s s	goss
m u l c h	mulch
s t a m p e d e	stampede
j v m	jvm
u t i l i s e d	utilised
h a r w o o d	harwood
t r i e s t e	trieste
r a n m a	ranma
m a r i n a s	marinas
