input1	label
wzgkxql	w z g k x q l
xbfgsm	x b f g s m
gwmn	g w m n
qtwn	q t w n
dxsqvbl	d x s q v b l
mbfghw	m b f g h w
fdklxh	f d k l x h
qjdfhm	q j d f h m
pvrsdwhf	p v r s d w h f
zsdkchblf	z s d k c h b l f
lqwsrpm	l q w s r p m
hpswqv	h p s w q v
tjzgrkq	t j z g r k q
qrkpngsjzvmbl	q r k p n g s j z v m b l
qhcvgfkr	q h c v g f k r
qkvwlnr	q k v w l n r
gtxsmkbp	g t x s m k b p
rzxjbkmwnv	r z x j b k m w n v
zlpt	z l p t
kbfmlv	k b f m l v
tfzlcqh	t f z l c q h
vrwxcmq	v r w x c m q
vdbxjq	v d b x j q
jfvxrqgct	j f v x r q g c t
xbsp	x b s p
hckdr	h c k d r
spmq	s p m q
wmjps	w m j p s
cmld	c m l d
vrznc	v r z n c
cfqxvdrl	c f q x v d r l
hwlq	h w l q
hrjpcgt	h r j p c g t
tfhzd	t f h z d
mbrtdfwxvs	m b r t d f w x v s
kvqtwjm	k v q t w j m
zbk	z b k
vqmzcl	v q m z c l
lqwhrg	l q w h r g
qbpxs	q b p x s
pzjrfx	p z j r f x
szrkgwnv	s z r k g w n v
fpbx	f p b x
qbktzc	q b k t z c
nmktdhfx	n m k t d h f x
bnhrpqmjv	b n h r p q m j v
cfjgbv	c f j g b v
pxkmdsv	p x k m d s v
kxdcrwnlbvtz	k x d c r w n l b v t z
sxjhg	s x j h g
std	s t d
nrdgxz	n r d g x z
dpbtzjxkvlc	d p b t z j x k v l c
xtp	x t p
dqcgxnlv	d q c g x n l v
knhdvctxblr	k n h d v c t x b l r
zqrs	z q r s
lkpxgzdhc	l k p x g z d h c
fvcmgb	f v c m g b
rbwjmlv	r b w j m l v
dsmptlh	d s m p t l h
lkxcmtgdsrpw	l k x c m t g d s r p w
vtzwscdn	v t z w s c d n
kbnl	k b n l
cmj	c m j
jgqtpcbl	j g q t p c b l
mzlsfjnx	m z l s f j n x
qklr	q k l r
fwmvc	f w m v c
twghnbzfvpqjm	t w g h n b z f v p q j m
fzv	f z v
wlkdxbsr	w l k d x b s r
klrx	k l r x
bvdkjfr	b v d k j f r
qzwhbdrt	q z w h b d r t
njmkhc	n j m k h c
hqmbtl	h q m b t l
nlwsz	n l w s z
tzbdrslch	t z b d r s l c h
nlvchxfkdqsmp	n l v c h x f k d q s m p
kctsfm	k c t s f m
lvbfnwhskq	l v b f n w h s k q
clkxdpvq	c l k x d p v q
vqdfcnhktlmbg	v q d f c n h k t l m b g
bqvdp	b q v d p
rhldvztnkp	r h l d v z t n k p
mbqcrwx	m b q c r w x
ngvbxhmd	n g v b x h m d
bqdpgx	b q d p g x
mfprzjt	m f p r z j t
ldc	l d c
ctsh	c t s h
kpfcvtw	k p f c v t w
fpnrmvkqch	f p n r m v k q c h
dkvm	d k v m
qdc	q d c
mkzgh	m k z g h
zflqcdmb	z f l q c d m b
stxrkjbghdnvpmlf	s t x r k j b g h d n v p m l f
vzwqr	v z w q r
xhwvcfnptdks	x h w v c f n p t d k s
xvrjz	x v r j z
lskhwcptv	l s k h w c p t v
fhxsznqtj	f h x s z n q t j
qwrkd	q w r k d
pvsh	p v s h
cpwjngz	c p w j n g z
tczrwx	t c z r w x
dcwxbg	d c w x b g
jcwmx	j c w m x
jbmdgf	j b m d g f
tsxk	t s x k
cdzhqsmf	c d z h q s m f
pqfbndkl	p q f b n d k l
rgfhlwjxvtkp	r g f h l w j x v t k p
chtzrs	c h t z r s
vtjqmdw	v t j q m d w
rzcx	r z c x
wcktdmb	w c k t d m b
gswqbhpn	g s w q b h p n
bdh	b d h
wqkgmf	w q k g m f
dhcspkqgtj	d h c s p k q g t j
rqb	r q b
wjlhf	w j l h f
wzftmrn	w z f t m r n
bpkgfxvdcr	b p k g f x v d c r
wfnmvk	w f n m v k
zvl	z v l
zgjstqfvwckdr	z g j s t q f v w c k d r
fwqkcszgmhvlp	f w q k c s z g m h v l p
srbzjxph	s r b z j x p h
fqchtvsw	f q c h t v s w
wbpqhgtc	w b p q h g t c
blxztfqh	b l x z t f q h
knvtmsfp	k n v t m s f p
dwqvrtzjmh	d w q v r t z j m h
klngztp	k l n g z t p
scnzwfkjdt	s c n z w f k j d t
qkm	q k m
xpslw	x p s l w
wfrjcsx	w f r j c s x
kmbwf	k m b w f
bpqhnmkr	b p q h n m k r
vlmtqsz	v l m t q s z
rclpf	r c l p f
wnqmcpb	w n q m c p b
cdsthlqbnk	c d s t h l q b n k
gcshfmx	g c s h f m x
hgwtl	h g w t l
chtfmzrg	c h t f m z r g
mclqn	m c l q n
wqbfmgtrdkh	w q b f m g t r d k h
bdxwskfpl	b d x w s k f p l
rxvfgsq	r x v f g s q
fwvk	f w v k
lxbzh	l x b z h
nbrjms	n b r j m s
sql	s q l
hsnkxgvj	h s n k x g v j
fhrcsn	f h r c s n
jgmzh	j g m z h
gxcvs	g x c v s
zxvfbshj	z x v f b s h j
zdkcmgvs	z d k c m g v s
xkgnzsdcq	x k g n z s d c q
lrkdcfjzh	l r k d c f j z h
bcpzhlsfk	b c p z h l s f k
qhxzlg	q h x z l g
jrngqwvskldm	j r n g q w v s k l d m
snlzb	s n l z b
htbxjcdklvzrws	h t b x j c d k l v z r w s
bwh	b w h
svwcnqk	s v w c n q k
jpnthxz	j p n t h x z
dpjqbfmw	d p j q b f m w
jbtkvwdrh	j b t k v w d r h
phzqltcgk	p h z q l t c g k
gmkbfwsphj	g m k b f w s p h j
qfcptkhgjbxw	q f c p t k h g j b x w
zslqch	z s l q c h
ndstbkp	n d s t b k p
kpnltrqx	k p n l t r q x
crtxdmwqnhp	c r t x d m w q n h p
bjtpl	b j t p l
slhmzdxwqpf	s l h m z d x w q p f
vzqhtxmdr	v z q h t x m d r
zbkhjw	z b k h j w
mgctbxn	m g c t b x n
gmtxcnkr	g m t x c n k r
vmxznf	v m x z n f
fns	f n s
tkgprqxsbmdfwvl	t k g p r q x s b m d f w v l
wpkqtgcm	w p k q t g c m
lxbvzkrt	l x b v z k r t
dzbhrgmv	d z b h r g m v
rwtzgmpdsxkvjn	r w t z g m p d s x k v j n
qrxzhgf	q r x z h g f
frgtwvcz	f r g t w v c z
vnx	v n x
mckvfjrns	m c k v f j r n s
bgpxrkmzqc	b g p x r k m z q c
ztqpg	z t q p g
bdtqhzpmk	b d t q h z p m k
bgmnw	b g m n w
rljcsmkn	r l j c s m k n
jwbt	j w b t
qmwbsdz	q m w b s d z
cqtbdhjwkr	c q t b d h j w k r
qdpmxr	q d p m x r
jvnmhp	j v n m h p
cslnwqjkt	c s l n w q j k t
nlhcq	n l h c q
jwdgskpzl	j w d g s k p z l
tclz	t c l z
bkwxfmj	b k w x f m j
vjw	v j w
qrmnzjlvfh	q r m n z j l v f h
mkstnfl	m k s t n f l
gfztm	g f z t m
kgznjw	k g z n j w
drp	d r p
bhrcgksfmjnztvx	b h r c g k s f m j n z t v x
tfvgpdx	t f v g p d x
xcpwzjg	x c p w z j g
bfwlqprn	b f w l q p r n
gjdmtwl	g j d m t w l
mglncs	m g l n c s
rtbqph	r t b q p h
dkv	d k v
qtvs	q t v s
cdbr	c d b r
njxr	n j x r
lnxkzp	l n x k z p
fshpvmg	f s h p v m g
svc	s v c
rjldvkcshz	r j l d v k c s h z
hvsj	h v s j
bhfj	b h f j
zgs	z g s
hfxbvlnc	h f x b v l n c
pwsqtbrznh	p w s q t b r z n h
cxkm	c x k m
pkghxj	p k g h x j
zkbn	z k b n
qfw	q f w
gfdrbtvk	g f d r b t v k
hfqcsdr	h f q c s d r
rxmbf	r x m b f
zmfwhjt	z m f w h j t
bdvxrf	b d v x r f
dfmws	d f m w s
glnsxkt	g l n s x k t
slwvnm	s l w v n m
dsblx	d s b l x
vsmjctgdfqrn	v s m j c t g d f q r n
xbjscgrm	x b j s c g r m
gdxrmf	g d x r m f
rfgslk	r f g s l k
pdnthmxf	p d n t h m x f
rmzwhxsb	r m z w h x s b
dklxsv	d k l x s v
plkgj	p l k g j
bslzjf	b s l z j f
bvphflsmxcdr	b v p h f l s m x c d r
xjrsf	x j r s f
nfwg	n f w g
jdzrnl	j d z r n l
fgnbksjw	f g n b k s j w
txvzwc	t x v z w c
wbcqgthfln	w b c q g t h f l n
grd	g r d
mwtd	m w t d
gtjs	g t j s
rxkmnb	r x k m n b
wqtfgdj	w q t f g d j
lrtmjxwpz	l r t m j x w p z
dsnctghk	d s n c t g h k
gbsdhlj	g b s d h l j
ltzvknmrf	l t z v k n m r f
cvdlhpsr	c v d l h p s r
fnh	f n h
tfmbrdk	t f m b r d k
vdfbpmtqzwh	v d f b p m t q z w h
nrmsftj	n r m s f t j
lsqxm	l s q x m
fsdrbwg	f s d r b w g
qst	q s t
mfgtwdpl	m f g t w d p l
jcdqg	j c d q g
sjwlkftnzvdrxg	s j w l k f t n z v d r x g
mcpdbrgjf	m c p d b r g j f
pfdjbk	p f d j b k
nlfv	n l f v
bkcrgtw	b k c r g t w
pkjdgfc	p k j d g f c
pvfcwzbx	p v f c w z b x
fgvmcpq	f g v m c p q
snrwhfmctx	s n r w h f m c t x
zdlht	z d l h t
ljpsmnw	l j p s m n w
cqnjtzrvfh	c q n j t z r v f h
msq	m s q
btcsqlngv	b t c s q l n g v
bfwqpz	b f w q p z
rqxf	r q x f
kdncpqzg	k d n c p q z g
hnwvbf	h n w v b f
zgctrsfjw	z g c t r s f j w
bhpmg	b h p m g
hwlvqsjdgx	h w l v q s j d g x
hvnxtg	h v n x t g
wms	w m s
nxq	n x q
gfr	g f r
mfhxgt	m f h x g t
dbctvmh	d b c t v m h
tzq	t z q
frdqgxwkl	f r d q g x w k l
prlhtsnmqd	p r l h t s n m q d
cgqsfl	c g q s f l
cbgmqvzxn	c b g m q v z x n
tlwhnszp	t l w h n s z p
prmc	p r m c
zqslnv	z q s l n v
sbghvnxr	s b g h v n x r
kmghtzpv	k m g h t z p v
tjhcmrqk	t j h c m r q k
njg	n j g
wbzgljftsdp	w b z g l j f t s d p
mth	m t h
kwpcxstvn	k w p c x s t v n
kpqr	k p q r
hfl	h f l
brtcfm	b r t c f m
thprsqnc	t h p r s q n c
rkfqdxc	r k f q d x c
vkzjsxc	v k z j s x c
jqrfwh	j q r f w h
zldxqfpr	z l d x q f p r
lhc	l h c
xjlzmpgtqrfd	x j l z m p g t q r f d
vslnfpz	v s l n f p z
pjbsqfwhckgrdx	p j b s q f w h c k g r d x
rwdm	r w d m
wgcsnrqbd	w g c s n r q b d
lsrxzhgbd	l s r x z h g b d
hcknpj	h c k n p j
vdxgqc	v d x g q c
lptvwmrxh	l p t v w m r x h
qcngjtd	q c n g j t d
gsvbrqwfz	g s v b r q w f z
wdbq	w d b q
jzvxnwgh	j z v x n w g h
lwv	l w v
nslpvzh	n s l p v z h
clwgdf	c l w g d f
jtwhlfkgbmrnzpd	j t w h l f k g b m r n z p d
lhgnksbd	l h g n k s b d
bxnlfzmtjrsp	b x n l f z m t j r s p
fmswqnk	f m s w q n k
znhpvs	z n h p v s
wrnfh	w r n f h
lsb	l s b
ztgkspxr	z t g k s p x r
zlwbfdcvxt	z l w b f d c v x t
vjsdxgkfmc	v j s d x g k f m c
ctdsfrnb	c t d s f r n b
gqxjmdbs	g q x j m d b s
bfcxvh	b f c x v h
ztcp	z t c p
wslrptcqbxn	w s l r p t c q b x n
dpsw	d p s w
wlrfmpnhsk	w l r f m p n h s k
mcrszgb	m c r s z g b
lwkvcnsqjbdpxhmrg	l w k v c n s q j b d p x h m r g
fhrtzwlc	f h r t z w l c
gbzk	g b z k
lkwhm	l k w h m
fxp	f x p
dpn	d p n
whsnxckvrzj	w h s n x c k v r z j
thnklqvjgr	t h n k l q v j g r
bqxwdflnvk	b q x w d f l n v k
tsldqvrm	t s l d q v r m
wgsqcplfxhnt	w g s q c p l f x h n t
gprnbf	g p r n b f
rxdwfz	r x d w f z
ptzcjhb	p t z c j h b
vfl	v f l
bmfzxlv	b m f z x l v
njklfzp	n j k l f z p
jdkmrtzbw	j d k m r t z b w
szdbnpvr	s z d b n p v r
jgksn	j g k s n
jths	j t h s
tmvzbxjp	t m v z b x j p
qjnrxgbspwvlk	q j n r x g b s p w v l k
trmbnfzlc	t r m b n f z l c
jvztwmdgrb	j v z t w m d g r b
cdg	c d g
dktzm	d k t z m
vdgmsx	v d g m s x
gfcdzjlpws	g f c d z j l p w s
kdvpq	k d v p q
blqcxk	b l q c x k
mhvzb	m h v z b
wqnhzjvk	w q n h z j v k
jnbwc	j n b w c
bzmtqfhdsx	b z m t q f h d s x
gzlqtsbv	g z l q t s b v
cgf	c g f
xbczgkfnl	x b c z g k f n l
mntbhxpr	m n t b h x p r
rgjtfz	r g j t f z
tbvqhgsd	t b v q h g s d
cxwbl	c x w b l
lpdzj	l p d z j
chb	c h b
lfpxgmkbj	l f p x g m k b j
wpmrfn	w p m r f n
wrcm	w r c m
ktczq	k t c z q
vgrjxnsfdczh	v g r j x n s f d c z h
ngmkjbxvrfc	n g m k j b x v r f c
dzglvksn	d z g l v k s n
fnxqm	f n x q m
jsvdfhtg	j s v d f h t g
tdbfvsczp	t d b f v s c z p
sdmz	s d m z
xjpqzk	x j p q z k
sxlfz	s x l f z
zmxwldfgk	z m x w l d f g k
ftsp	f t s p
pswl	p s w l
dlznxths	d l z n x t h s
fmpn	f m p n
fqjnzw	f q j n z w
qfjmcd	q f j m c d
nvrmjcflbstzp	n v r m j c f l b s t z p
tmjbnvrxzkd	t m j b n v r x z k d
tjkvwcng	t j k v w c n g
fgzh	f g z h
hmqcpsrf	h m q c p s r f
cfjnlqzgdh	c f j n l q z g d h
lpqncrwjzfgkxsv	l p q n c r w j z f g k x s v
fjrcx	f j r c x
sgqjwbpm	s g q j w b p m
zpfwcqbgkld	z p f w c q b g k l d
rnfqk	r n f q k
qvmk	q v m k
mhk	m h k
whmrltpzqnkj	w h m r l t p z q n k j
qldpghfs	q l d p g h f s
zfvmlsjckntpghd	z f v m l s j c k n t p g h d
dzg	d z g
msjhkcl	m s j h k c l
qxwcpghm	q x w c p g h m
rqvlns	r q v l n s
djbh	d j b h
zjs	z j s
bhmcw	b h m c w
hwtkqz	h w t k q z
zwjlrvdtn	z w j l r v d t n
jtxqch	j t x q c h
jtfdsv	j t f d s v
hzjf	h z j f
ldvfwjxq	l d v f w j x q
dlptsvxcrn	d l p t s v x c r n
rwcjzgt	r w c j z g t
zjfkrms	z j f k r m s
mvbwcjhpg	m v b w c j h p g
nhcxtmkv	n h c x t m k v
wldczsjqfb	w l d c z s j q f b
phbzkx	p h b z k x
mcqndxjtfp	m c q n d x j t f p
jqdnrlbzts	j q d n r l b z t s
njbcd	n j b c d
nltdkh	n l t d k h
fgtdxscjmb	f g t d x s c j m b
sqxkmgp	s q x k m g p
mrsbq	m r s b q
csdlpjmwng	c s d l p j m w n g
swrhn	s w r h n
ptzwx	p t z w x
qlwnt	q l w n t
fwgpm	f w g p m
cnmj	c n m j
wmtbc	w m t b c
slrmn	s l r m n
vmfgtzxb	v m f g t z x b
dxrvkzfjs	d x r v k z f j s
cgxtqvdm	c g x t q v d m
jflgwnbc	j f l g w n b c
wfq	w f q
rbsjdmkxv	r b s j d m k x v
drgtpmq	d r g t p m q
dst	d s t
swhxr	s w h x r
lsfxcjtv	l s f x c j t v
mzqjbhdl	m z q j b h d l
tpdbkqwc	t p d b k q w c
qkbpt	q k b p t
mrgvcksdxql	m r g v c k s d x q l
dlgq	d l g q
gmkzc	g m k z c
psmcbvrfdng	p s m c b v r f d n g
gkrp	g k r p
lmr	l m r
kfjmgsc	k f j m g s c
prhtdsf	p r h t d s f
bpqxlk	b p q x l k
svzdgm	s v z d g m
znskcr	z n s k c r
cgmrkbv	c g m r k b v
whrzjdvxl	w h r z j d v x l
shgcvfbmkp	s h g c v f b m k p
jvcltbd	j v c l t b d
gnph	g n p h
klnvf	k l n v f
vlqhrtd	v l q h r t d
tkzbrwcdsf	t k z b r w c d s f
cjvh	c j v h
xbrtz	x b r t z
bzpghx	b z p g h x
tzdqf	t z d q f
ftnszbxvgd	f t n s z b x v g d
krm	k r m
gdv	g d v
qncxrkhsjmf	q n c x r k h s j m f
wkdtznrj	w k d t z n r j
sgrlhkwqv	s g r l h k w q v
trqps	t r q p s
xgcvp	x g c v p
dshxfckltwbnpz	d s h x f c k l t w b n p z
dgczs	d g c z s
qfmhgbslcxw	q f m h g b s l c x w
cjfhbwvrnmpk	c j f h b w v r n m p k
wdphsv	w d p h s v
lsjfgkmpnqhdc	l s j f g k m p n q h d c
vpgsdmjcrbwxth	v p g s d m j c r b w x t h
xvjwmslkzfdqb	x v j w m s l k z f d q b
drnjpxqktwbhz	d r n j p x q k t w b h z
vnkfdw	v n k f d w
wsqdbk	w s q d b k
cxkgm	c x k g m
lvfcsbw	l v f c s b w
nsl	n s l
xnzjcs	x n z j c s
lrh	l r h
fgxqh	f g x q h
cgfdks	c g f d k s
pfcwd	p f c w d
lmbkcvrxqhzn	l m b k c v r x q h z n
hlpzqbxf	h l p z q b x f
hvdprn	h v d p r n
crkzhqsnt	c r k z h q s n t
lcvrg	l c v r g
ngkhdvz	n g k h d v z
cvrskf	c v r s k f
fckxjgvpz	f c k x j g v p z
kdsgfplt	k d s g f p l t
ftw	f t w
whdzx	w h d z x
zlrpcthmks	z l r p c t h m k s
zfbg	z f b g
lqrdkpjgftsxv	l q r d k p j g f t s x v
rtxzlcnkfdg	r t x z l c n k f d g
bjmr	b j m r
mgqpsflzj	m g q p s f l z j
mlrcbzdxv	m l r c b z d x v
tfpmgbrnq	t f p m g b r n q
qgwcmfn	q g w c m f n
mlhqx	m l h q x
nqvkgrz	n q v k g r z
xtmz	x t m z
pzwrkgxjq	p z w r k g x j q
dzxwsmqkvr	d z x w s m q k v r
hcrm	h c r m
rflcpswgdbvm	r f l c p s w g d b v m
qrkpz	q r k p z
hrpftsq	h r p f t s q
xqvnlsbm	x q v n l s b m
lptnv	l p t n v
cps	c p s
shn	s h n
fnc	f n c
fpv	f p v
nqfrzt	n q f r z t
qhrmvsbznwc	q h r m v s b z n w c
tpzlf	t p z l f
rhwmzsf	r h w m z s f
mzlgnjf	m z l g n j f
clwzfvgdt	c l w z f v g d t
fqxdbwzm	f q x d b w z m
blrh	b l r h
gcntbzlq	g c n t b z l q
zklqpvc	z k l q p v c
gfncwvrdm	g f n c w v r d m
hlvs	h l v s
bmxhfkzwrqp	b m x h f k z w r q p
cxdzhnkvlqmb	c x d z h n k v l q m b
lcfwdpjgvh	l c f w d p j g v h
gxfthswqn	g x f t h s w q n
zcvxhwkn	z c v x h w k n
qgbnrztvlwfjp	q g b n r z t v l w f j p
lrdtbvmcs	l r d t b v m c s
qcwmlnjtv	q c w m l n j t v
ncgvqs	n c g v q s
hnlgmckfstpvb	h n l g m c k f s t p v b
nchfqdsbwl	n c h f q d s b w l
fwrqs	f w r q s
fvdxph	f v d x p h
xdhmswbrk	x d h m s w b r k
vjswzpbr	v j s w z p b r
cdnqz	c d n q z
cpjlv	c p j l v
mgzspql	m g z s p q l
mkzxlrjgvc	m k z x l r j g v c
njszptmdq	n j s z p t m d q
kqdp	k q d p
dqz	d q z
vldgsqk	v l d g s q k
tqx	t q x
xht	x h t
fzdhbcsvwmqxl	f z d h b c s v w m q x l
qmzsvjnk	q m z s v j n k
xdkgrtcq	x d k g r t c q
vnsbjlq	v n s b j l q
cjkdtzvs	c j k d t z v s
khmqsdlwbx	k h m q s d l w b x
ntfgrw	n t f g r w
rhds	r h d s
znmrwfvcgsqd	z n m r w f v c g s q d
zsmx	z s m x
brlpmgcfz	b r l p m g c f z
rgzcwlxdbqtkfhs	r g z c w l x d b q t k f h s
ljhsrxpcw	l j h s r x p c w
rgqbvpt	r g q b v p t
hzm	h z m
rcsfhx	r c s f h x
zrqp	z r q p
lgnsqxc	l g n s q x c
xkbqnr	x k b q n r
pnkfzc	p n k f z c
rfpszl	r f p s z l
qmpwksvhfg	q m p w k s v h f g
pwr	p w r
xbtpmnhv	x b t p m n h v
snt	s n t
djqsvhwflr	d j q s v h w f l r
rhfdnpk	r h f d n p k
jdrtp	j d r t p
xjrqv	x j r q v
zrsbwjn	z r s b w j n
zjqmgs	z j q m g s
mqvscw	m q v s c w
gvwzqm	g v w z q m
vjxmshdwfgz	v j x m s h d w f g z
rcnmvjskwdb	r c n m v j s k w d b
nhcfrg	n h c f r g
wcjxznqhb	w c j x z n q h b
tjgbqxf	t j g b q x f
bvls	b v l s
cms	c m s
vnkzs	v n k z s
wlcmsxb	w l c m s x b
sjpnvd	s j p n v d
pvgflrjd	p v g f l r j d
thvmfsnb	t h v m f s n b
snczqr	s n c z q r
bqgkmjw	b q g k m j w
ldfbkhs	l d f b k h s
wxhnvrtzfm	w x h n v r t z f m
fqlxtjwdv	f q l x t j w d v
hzcrq	h z c r q
tmbrgpqf	t m b r g p q f
sfhlqgkxn	s f h l q g k x n
gnbl	g n b l
bmpncsvfrt	b m p n c s v f r t
gmbjhsldp	g m b j h s l d p
wprbfhtgcsx	w p r b f h t g c s x
tbjvgkmnpwc	t b j v g k m n p w c
lrjfc	l r j f c
trqvjxm	t r q v j x m
vsmwx	v s m w x
wpslq	w p s l q
bcphng	b c p h n g
vrwflc	v r w f l c
svqm	s v q m
vpwhnflb	v p w h n f l b
hjtnfm	h j t n f m
xpz	x p z
xntfkhrw	x n t f k h r w
zjpqvmrx	z j p q v m r x
ckrmgdjh	c k r m g d j h
fqdjrhtxls	f q d j r h t x l s
jzx	j z x
qpfkl	q p f k l
grqlwpbjc	g r q l w p b j c
xjvcrt	x j v c r t
psckv	p s c k v
cmwspqjrd	c m w s p q j r d
ltrgjxzshwkd	l t r g j x z s h w k d
rmkfjqtwlxp	r m k f j q t w l x p
lwmhxc	l w m h x c
mphrzqwdvcl	m p h r z q w d v c l
glqm	g l q m
cwjbvnsldf	c w j b v n s l d f
bsvxdmfjn	b s v x d m f j n
hcvprnbw	h c v p r n b w
vszxqdgbm	v s z x q d g b m
gslnqmbvztd	g s l n q m b v z t d
bqwltjhsz	b q w l t j h s z
xksdzbmgnfq	x k s d z b m g n f q
lhqrftj	l h q r f t j
jhkglvm	j h k g l v m
znpfjlh	z n p f j l h
rcwkqhs	r c w k q h s
szwtm	s z w t m
rlzw	r l z w
hwnrlcvfzbkdgt	h w n r l c v f z b k d g t
fhglknxb	f h g l k n x b
bgzhfrc	b g z h f r c
fxswncb	f x s w n c b
khqr	k h q r
gvqrs	g v q r s
vwbknjdhz	v w b k n j d h z
jvmxnwt	j v m x n w t
ltbpfzkrdqvcm	l t b p f z k r d q v c m
lbdmsf	l b d m s f
wzgrbstd	w z g r b s t d
kncfxwp	k n c f x w p
lbrnz	l b r n z
fsktgw	f s k t g w
rct	r c t
xhkvfczmqrwt	x h k v f c z m q r w t
ntxvrc	n t x v r c
pdskxmlzg	p d s k x m l z g
gbqsth	g b q s t h
xldj	x l d j
vfpd	v f p d
hsmlgbcfkn	h s m l g b c f k n
djgszlvmhbk	d j g s z l v m h b k
gwqvxt	g w q v x t
thj	t h j
tdxclrz	t d x c l r z
mzfdrg	m z f d r g
cxk	c x k
xfwkt	x f w k t
wbmv	w b m v
drhjsctlzkf	d r h j s c t l z k f
vgkt	v g k t
bjpg	b j p g
pbksqhn	p b k s q h n
ksg	k s g
fmnpbsq	f m n p b s q
clpzqgbk	c l p z q g b k
jzxbwsh	j z x b w s h
kvd	k v d
fgd	f g d
gpb	g p b
tvrgczbdfx	t v r g c z b d f x
rzkn	r z k n
rknfhjq	r k n f h j q
tpksvlzqxr	t p k s v l z q x r
qhnzmsgcfrt	q h n z m s g c f r t
pxblmfqjv	p x b l m f q j v
tgvbqlmzxdkswpf	t g v b q l m z x d k s w p f
mvzkhwsn	m v z k h w s n
chqbp	c h q b p
srbfh	s r b f h
vnsjq	v n s j q
wtgfdq	w t g f d q
mng	m n g
nxwmpjkvct	n x w m p j k v c t
tjk	t j k
blnstfq	b l n s t f q
hkqvgm	h k q v g m
vbzmclskdhgjfqnp	v b z m c l s k d h g j f q n p
pkqr	p k q r
kljhsq	k l j h s q
mxpblwfndt	m x p b l w f n d t
hgktbd	h g k t b d
dtrcwh	d t r c w h
blcrfzqwg	b l c r f z q w g
tfwx	t f w x
btcswrmgqp	b t c s w r m g q p
gzw	g z w
cxblkp	c x b l k p
dznlfkvrgq	d z n l f k v r g q
nsxkhzrv	n s x k h z r v
fjwq	f j w q
lsh	l s h
xdnc	x d n c
pkb	p k b
xzj	x z j
mpwqjdgt	m p w q j d g t
htqljpz	h t q l j p z
vxfpqsgzhjt	v x f p q s g z h j t
zlxmjkwvq	z l x m j k w v q
gnzhxtrbc	g n z h x t r b c
lxcrv	l x c r v
cnwp	c n w p
jwk	j w k
lqbgx	l q b g x
lpdbmztjxwcv	l p d b m z t j x w c v
hdntrk	h d n t r k
jsprlxftwh	j s p r l x f t w h
jrxz	j r x z
bjchnz	b j c h n z
spfmvwjzbnk	s p f m v w j z b n k
rkmlgfn	r k m l g f n
szbwxqlgr	s z b w x q l g r
xmvnb	x m v n b
xskpr	x s k p r
hfqs	h f q s
gwm	g w m
vzxfbknrl	v z x f b k n r l
cwvxgt	c w v x g t
ftrcjs	f t r c j s
qfxjpk	q f x j p k
lqfgxwrdsmb	l q f g x w r d s m b
tlkrsfzn	t l k r s f z n
wdzrg	w d z r g
jpzflxg	j p z f l x g
cbqgzrth	c b q g z r t h
lsnfxv	l s n f x v
rjhg	r j h g
smbjchdtnkx	s m b j c h d t n k x
gqwsrfm	g q w s r f m
vdmlkcf	v d m l k c f
bmrkgv	b m r k g v
xmlrvdczknp	x m l r v d c z k n p
mqhgbtsx	m q h g b t s x
hznb	h z n b
vhgpmcx	v h g p m c x
mfgsrxlc	m f g s r x l c
vzntdqgc	v z n t d q g c
jvdbrklcnxhgtw	j v d b r k l c n x h g t w
vcsw	v c s w
jxmhbktpfnc	j x m h b k t p f n c
rxsdqtmcln	r x s d q t m c l n
rlgst	r l g s t
slp	s l p
xzsdwhvtb	x z s d w h v t b
hnzrcxf	h n z r c x f
bmlcp	b m l c p
rxqmbtj	r x q m b t j
hgzsnrfctbklx	h g z s n r f c t b k l x
zdqshpr	z d q s h p r
pqbs	p q b s
nljhkbcstwrxfd	n l j h k b c s t w r x f d
prbwzm	p r b w z m
gdvxlqkj	g d v x l q k j
bcgn	b c g n
kwgnjqsrcmhbv	k w g n j q s r c m h b v
vdkqjzcrmplxg	v d k q j z c r m p l x g
tcnl	t c n l
ltcrw	l t c r w
bqgxtdlzj	b q g x t d l z j
gmzp	g m z p
xtkqmflb	x t k q m f l b
mdvspjncwthk	m d v s p j n c w t h k
dvgtb	d v g t b
hzlkxngr	h z l k x n g r
cjg	c j g
fshg	f s h g
vmdr	v m d r
mltzkp	m l t z k p
hskqg	h s k q g
mghw	m g h w
fbk	f b k
gvm	g v m
flvxq	f l v x q
bsdrkmxzvqjl	b s d r k m x z v q j l
wljgspf	w l j g s p f
cwnl	c w n l
hrcdxg	h r c d x g
prmqfzxkhlsn	p r m q f z x k h l s n
lkdfcwqr	l k d f c w q r
cbxqmlwkg	c b x q m l w k g
dhlzjxq	d h l z j x q
vrjpqt	v r j p q t
dxvzmpnwgcbtfr	d x v z m p n w g c b t f r
tnwpsljh	t n w p s l j h
lvnmxc	l v n m x c
fzxkm	f z x k m
sgvbkrlfdt	s g v b k r l f d t
bkvctxqr	b k v c t x q r
rhqdjskb	r h q d j s k b
tvfzhcnr	t v f z h c n r
qpgrfks	q p g r f k s
vsbxmrhft	v s b x m r h f t
cwkftsdn	c w k f t s d n
lck	l c k
hsgtrpxwm	h s g t r p x w m
swgxbv	s w g x b v
tgvb	t g v b
bwlqtk	b w l q t k
qgwhpctj	q g w h p c t j
zlq	z l q
